POI Id,Name,Favourite dish of your college,Largest value food order at your college,unofficial campus favorite restaurant,The official 12 AM craving / dish,Max number of orders in a week for a student in your college,Highest number of pizzas ordered on a single day,Highest number of biryanis ordered on a single day
12c9edc4-9a21-483a-82e1-b8981e66e0e9,Velammal Medical College & Hospital,biryani,7370,Zaitoon,burger,13,6,12
88a819be-b6da-4ea7-81ad-d9fc10b1011a,Chalmeda Anand Rao Institute Of Medical Sciences,biryani,5928,Domino's Pizza,pizza,8,7,24
de5b3cde-dbbe-4b37-9008-1108e466ffe8,IIT Gandhinagar,burger,15006,KFC,burger,16,13,8
c2faff91-d134-4a14-96cc-5752aaf36e90,Baby Memorial College Of Allied Medical Sciences & Hospital,biryani,6930,Hotel Sagar (Old Sagar),burger,23,7,8
7a5c1ebb-7cb3-4762-8642-6257a7fc06d1,Goa University,biryani,4554,The Tiffin Factory,curry,13,9,13
bcce549e-487c-4f18-9899-f459161f045d,DY Patil Medical University,burger,5882,McDonald's,burger,17,8,8
9b78603e-a333-424c-b012-bf1f7e373a7e,JECRC University & JECRC Medical College Hospital (JMCH),pizza,3827,Rominus Pizza and Burger,burger,9,17,9
43b49388-22a1-4f7c-9858-3b66daab7c82,Indian Institute of Forest Management,pizza,5008,Pizza Hut,pizza,23,16,10
8f72a3a7-8421-453f-865d-1c183097364e,Christian Dental College & Hospital,burger,6935,KFC,burger,8,8,5
c0v85irnrs5psrn7ivug,National Institute of Fashion Technology,biryani,8550,Domino's Pizza,noodles,14,9,11
6c2938df-9a0c-423d-8f57-3b95d6e8130d,AMC Dental College and Hospital,burger,8630,McDonald's,pizza,12,14,7
69b0a37b-b0eb-42e4-9be0-4350e534dbea,Godavari Global University(GGU & GGIET Campus),biryani,4107,Amrutha Biryani center,biryani,10,5,64
427649ee-ee66-49e1-80eb-5e733742e21a,RIMS Super Speciality Hospital,biryani,6288,Andhra Spice (Original),,10,6,23
67082c40-6af5-44d0-82e1-8b090fea0560,Sri Jayachamarajendra College of Engineering & JSS Polytechnic,biryani,2702,The Quorum Hotel,biryani,11,7,49
4440c59d-b50a-441d-a50d-d5e75a4c2869,Deenbandhu Chhotu Ram University Of Science And Technology(DCRUST),pizza,2546,Pizza Galleria,pizza,10,18,6
6b7c863e-3b20-444b-b372-560751c014c7,Indira Group Of Institutions,fried_rice,6751,Lamiya Multicuisine Restaurant,,12,4,8
24bc6334-fee3-4e5c-bb9a-2153df9aa67a,Maharani Laxmi Bai Medical College,burger,3262,Shiv Hotel,burger,14,13,20
180c9d19-92c8-4853-b704-5a92021ef2f6,NIT Kurukshetra,pizza,2942,Domino's Pizza,pizza,14,21,4
409a7228-7780-41b6-bd47-fdd516289554,University of Lucknow Second Campus,pizza,3612,Burger King,pizza,12,18,11
9fc17490-3dbc-4ce8-84f9-922496886a1c,Sikkim Manipal University(SMU),burger,5154,Burger King,,12,8,11
c42d03de-194f-45e7-8f6f-b53d9c1177d5,IIM Trichy,burger,8565,KFC,burger,10,15,11
c0e3seomlbnfmjbvh15g,Panimalar Engineering College,biryani,6461,KFC,pizza,17,7,9
a514475c-7e31-42fb-8fa9-7947d372c75e,Birla Institute of Management Technology,burger,3672,Burger King,other_dry_starters,14,12,9
bui8vfistu3qr1u8fkkg,CMR Group of Institutions,biryani,4118,Classic Family Dhaba,burger,10,9,48
91994bb0-2151-4291-95f7-0ddc903f1cc5,Roorkee Institute of Technology (RIT),biryani,2543,Mohit Dhaba,burger,11,7,12
9a557ed7-3484-4207-96fd-5556561eeda8,Kamla Nehru Institute of Technology Sultanpur(KNIT Sultanpur),pizza,2033,Rominus Pizza And Burger,pizza,6,148,20
b52c3f7a-85b2-434b-94bc-3d2787e54b87,Amrita University,burger,3943,KFC,,11,5,15
c0e3k5o9tt4h2ptrvf70,Bengaluru University I,biryani,8166,Burger King,pizza,10,9,14
a280e6c3-cafc-4ee9-aebb-18b17a25ccdf,Raj Kumar Goel Institute Of Technology,pizza,4650,Rominus Pizza And Burger,pizza,8,52,22
5bda6052-a50c-43b4-80f3-5fb1d10dc3fb,Dr Laxmi Narayan Pandey Government Medical College & Hospital,pizza,2042,Krishna Fast Food & Restaurant,,12,12,8
f4095b4c-4ff6-4f27-9a3b-6a6d93bd94b9,Lalbhai Dalpatbhai College of Engineering,pizza,2999,Martino'z Pizza - Navrangpura,pizza,12,17,7
b4ced8f5-532d-45e6-b769-18e220154453,Sri Aurobindo Institute of Medical Sciences & Hospital (SAIMS),burger,6298,McDonald's,curry,12,10,6
e707e9fc-9212-4208-87e0-d952c8d5147e,IIM Udaipur,biryani,14979,Pizza Hut,pizza,10,12,16
c0e3i00mlbnfmjbvgnt0,Dayananda Sagar Institutions,biryani,6907,Meghana Foods,other_dry_starters,11,8,18
46740d93-6364-472b-aa73-83322d48a536,Dayanand Medical College,burger,4494,Burger King,pizza,12,10,4
110796c0-0679-4c56-b43b-afc16ecb3b02,Royal Global University,burger,4411,KFC,burger,10,7,11
d77b3cb1-684e-44d0-b999-53218c769b5e,Satyajit Ray Film & Television Institute,biryani,7937,Rang De Basanti Dhaba,biryani,18,6,7
8f97ed1f-8b18-418d-8e9b-689536234b0e,Pt Jawahar Lal Nehru Memorial Medical College Raipur,biryani,4484,Kaaram Podi,biryani,12,5,10
347f7189-f9ba-4400-a771-0455d7caf758,The Maharaja Sayajirao University of Baroda,pizza,3444,Jagdish Foods Pvt Ltd,pizza,12,11,9
c0e3g589tt4h2ptrvbk0,Bharati Vidyapeeth University,burger,9214,Burger King,pizza,14,11,5
b9abbe07-30f7-41df-87f0-6280286286c9,Dharmashastra National Law University(BRBRAITT),thali,11766,Bun in a Million,pizza,12,14,5
cc4d5bed-c6c2-4098-a319-917c9c10c749,GD Goenka University,burger,6472,Om Sweets & Snacks,pizza,42,7,8
buibn6mpej7fsal2qoig,Chennai Mathematical Institute,burger,4082,Zaitoon,other_dry_starters,22,8,5
3b2de6cf-95c9-4fa0-a520-1ee3e5ac3635,Krishna Teja Jr College,biryani,4837,Di Table 9,pizza,10,5,33
360aad8d-5dd8-49a3-9807-bdd751a8373f,SS Institute of Medical Sciences,biryani,3675,Sarovar Royalee Fine Dine,pizza,10,12,23
87f233f4-8550-47e5-b97d-0961a5781101,Rajasthan University of Health Sciences,pizza,3280,Kanha,pizza,10,12,5
8045509f-dc34-4a66-830c-3fd3126cfda1,Dr. Babasaheb Ambedkar Marathwada University,biryani,3017,CFC Shalimar Family Restaurant,biryani,13,14,28
a30499a2-9334-43c2-a7ff-9c73757590c7,Walchand College of Engineering,biryani,3423,Rahamatullah Restaurant Sangli,pizza,8,5,43
182fd853-6ca5-4387-8568-7e86d03ead03,CFTRI Campus,biryani,4199,A2B - Adyar Ananda Bhavan,burger,12,7,9
c0deqto9tt4h2ptruqbg,Ramaiah University Of Applied Sciences,biryani,3737,Burger King,burger,12,6,12
6717c352-ae89-457d-b46d-6af1b1995ff5,Shri Vasantrao Naik Government Medical College & Hospital,biryani,3746,Ekvira Restaurant,pizza,13,8,29
bui62hqstu3qr1u8f8c0,Hindu Rao Hospital & North DMC Medical College,pizza,14578,La Pino'z Pizza,curry,21,10,7
4b5fe579-841a-46d4-acd6-adc927af1067,Manav Rachna Educational Institutions,biryani,8479,Burger King,fries,8,7,17
bui61ampej7fsal2q0lg,Rajiv Gandhi Cancer Institute & Research Centre,burger,12969,Chaayos Chai+Snacks=Relax,burger,15,7,6
41f8bab2-832f-4bdc-a87c-a93460cdcc71,National Institute Of TB And Respiratory Diseases,biryani,6161,Thalairaj Biryani,burger,14,9,9
d1da67bb-bf61-4b6f-9712-3b9a3911a792,Datta Meghe Institute of Medical Sciences,biryani,2607,Food Feast Restaurants,fries,13,7,8
e67b8f02-2e45-45e0-a399-e24fb808f40a,Indian Institute of Science Education and Research Bhopal,pizza,6071,KFC,pizza,10,16,7
271a11d6-82b8-45fc-ae27-66eb52bc3f2b,Government Medical College Kochi,biryani,3704,Thaal Kitchen,other_dry_starters,14,4,7
bafe82a1-7606-4909-a856-2a0a6d4dcb58,Government Institute of Leather Technology(FDDI),biryani,3399,Mehfil,biryani,11,6,11
097d7620-993a-4d63-965c-a6a699928ec1,KMCT Kozhikode,burger,2329,KFC,,10,10,5
5e48fc57-89d9-4321-ac34-245c86ea8446,IIIT Bhagalpur,roll,3228,Metro Plaza,,10,11,11
91def1f1-063d-43a1-b537-692f47a483a0,Coimbatore Institute of Technology (CIT),biryani,4749,Salem RR Biriyani Unavagam,pizza,21,3,53
0a83c9f0-33bb-491d-b470-430a47997e50,University of Rajasthan,pizza,4972,Harishankar Veg Restro,pizza,12,13,6
1bd87995-e730-4738-a8a6-4d31db69a7c4,Pinnamaneni Siddhartha Medical College,biryani,4402,K mishra family dhaba,pakoda,12,3,17
28581c80-cd53-420f-b5ae-9c56bb01d692,Sri Venkateshwaraa Medical College Hospital & Research Centre,biryani,8976,KFC,other_dry_starters,9,4,15
751e16ec-7308-42b3-8693-be923b4e85a7,Rajalakshmi Engineering College,biryani,3253,Chill 'N' Chill Restaurant,fried_rice,4,3,49
05e97beb-1bdc-4e6c-955d-c26e2952282d,Pt. Jawahar Lal Nehru Memorial Medical College II,biryani,4105,Chai Govindam,biryani,10,6,11
5ff5167c-8d43-4916-86ed-499b85ceff3a,JJM Medical College,biryani,2249,Domino's Pizza,pizza,16,6,9
btd13058o0r16ibrs23g,BMS Institute of Technology and Management,biryani,7071,Nandhana Palace,other_dry_starters,15,6,12
99a48e44-6cc1-40c8-9d84-f371e4ed0f40,Government College of Technology Coimbatore,biryani,7217,Royal Biriyani,parotta,15,4,21
f5077d72-5150-4c3d-8dfd-37c56316bdc9,Shyam Shah Medical College & Sanjay Gandhi Memorial Hospital,pizza,5333,Domino's Pizza,pizza,13,9,8
8e8f47d6-0147-486a-92df-dc133e630ca5,KIMS Hospital And Research Centre,biryani,8124,McDonald's,burger,12,7,10
d8604735-fdc5-4c46-9e25-85dcc2b5dadf,Amity University Lucknow,pizza,3857,Rominus Pizza And Burger,pizza,8,9,10
ee28bf2b-497c-457e-87ea-560f121f3dc4,Institute of Nano Science and Technology,biryani,4789,La Pino'z Pizza,pizza,17,10,7
d56743fe-634c-46a3-b6ce-4534c3d8cfe6,Indira Gandhi Institute Of Child Health,biryani,4800,Domino's Pizza,pizza,25,6,10
ab3d0094-751b-41c4-bd3e-35d26b56f374,Chettinad Hospital And Research Institute,biryani,7643,Sri Krishna Bhavan,other_rice_varieties,15,6,8
f1eafc90-f754-4470-9d0b-e6a1ad478257,Indian Maritime University(IMU),burger,6681,Jai Jawan Stall,burger,11,14,8
c0e3nl0mlbnfmjbvgsu0,Kohinoor City Mall,biryani,15125,Thambbi,other_dry_starters,10,7,9
f1136aad-51d1-4320-87dd-b98e29a00e21,MICA Ahmedabad,burger,7192,McDonald's,burger,9,11,5
2d934343-2fd4-4d79-b641-a65b8ef91e51,National Institute of Technology Calicut(NIT) Part 2,burger,5560,KFC,burger,10,9,6
buiau22stu3qr1u8fstg,Madras School Of Economics,burger,2755,Burger King,burger,9,6,9
c0e3mggmlbnfmjbvgrv0,Jaipuria Institute Of Management,pizza,4843,Domino's Pizza,pizza,9,9,9
4daad2ae-0f74-411d-8540-9bb81c8a8d55,NIFT Patna,biryani,4178,Burger King,pizza,8,7,8
buiamgepej7fsal2qk8g,Dr MGR Educational and Research Institute,burger,4653,Burger King,burger,11,4,7
